Date,POC,PM2.5,AQI_VALUE,COUNTY,LATITUDE,LONGITUDE
3/17/2020,1,14.3,56,Denton,33.219069,-97.196284
3/18/2020,1,6.5,27,Denton,33.219069,-97.196284
3/19/2020,1,7.6,32,Denton,33.219069,-97.196284
3/20/2020,1,2.4,10,Denton,33.219069,-97.196284
3/21/2020,1,4.1,17,Denton,33.219069,-97.196284
3/22/2020,1,5.4,23,Denton,33.219069,-97.196284
3/23/2020,1,9.1,38,Denton,33.219069,-97.196284
3/24/2020,1,6.6,28,Denton,33.219069,-97.196284
3/25/2020,1,7,29,Denton,33.219069,-97.196284
3/26/2020,1,18,63,Denton,33.219069,-97.196284
3/27/2020,1,16.1,59,Denton,33.219069,-97.196284
3/28/2020,1,5.5,23,Denton,33.219069,-97.196284
3/29/2020,1,3.5,15,Denton,33.219069,-97.196284
3/30/2020,1,3.9,16,Denton,33.219069,-97.196284
3/31/2020,1,1.8,8,Denton,33.219069,-97.196284
4/1/2020,1,4.9,20,Denton,33.219069,-97.196284
4/2/2020,1,6.9,29,Denton,33.219069,-97.196284
4/3/2020,1,4.1,17,Denton,33.219069,-97.196284
4/4/2020,1,4.5,19,Denton,33.219069,-97.196284
4/5/2020,1,8.6,36,Denton,33.219069,-97.196284
4/6/2020,1,13.8,55,Denton,33.219069,-97.196284
4/7/2020,1,9,38,Denton,33.219069,-97.196284
4/8/2020,1,6.3,26,Denton,33.219069,-97.196284
4/9/2020,1,10.7,45,Denton,33.219069,-97.196284
4/10/2020,1,9.7,40,Denton,33.219069,-97.196284
4/11/2020,1,9.1,38,Denton,33.219069,-97.196284
4/12/2020,1,6.3,26,Denton,33.219069,-97.196284
4/13/2020,1,3.9,16,Denton,33.219069,-97.196284
4/14/2020,1,4,17,Denton,33.219069,-97.196284
4/15/2020,1,5.5,23,Denton,33.219069,-97.196284
4/16/2020,1,7.7,32,Denton,33.219069,-97.196284
4/17/2020,1,5.8,24,Denton,33.219069,-97.196284
4/18/2020,1,7.3,30,Denton,33.219069,-97.196284
4/19/2020,1,9.2,38,Denton,33.219069,-97.196284
4/20/2020,1,6.7,28,Denton,33.219069,-97.196284
4/21/2020,1,10.7,45,Denton,33.219069,-97.196284
4/22/2020,1,6.7,28,Denton,33.219069,-97.196284
4/23/2020,1,2.1,9,Denton,33.219069,-97.196284
4/24/2020,1,5.4,23,Denton,33.219069,-97.196284
4/25/2020,1,4.6,19,Denton,33.219069,-97.196284
4/26/2020,1,5.5,23,Denton,33.219069,-97.196284
4/27/2020,1,7.6,32,Denton,33.219069,-97.196284
4/28/2020,1,8.9,37,Denton,33.219069,-97.196284
4/29/2020,1,3.3,14,Denton,33.219069,-97.196284
4/30/2020,1,5.9,25,Denton,33.219069,-97.196284
5/1/2020,1,6.5,27,Denton,33.219069,-97.196284
5/2/2020,1,6.5,27,Denton,33.219069,-97.196284
5/3/2020,1,7.8,33,Denton,33.219069,-97.196284
5/4/2020,1,9,38,Denton,33.219069,-97.196284
5/5/2020,1,3.2,13,Denton,33.219069,-97.196284
5/6/2020,1,3.6,15,Denton,33.219069,-97.196284
5/7/2020,1,6.7,28,Denton,33.219069,-97.196284
5/8/2020,1,4.1,17,Denton,33.219069,-97.196284
5/9/2020,1,5.4,23,Denton,33.219069,-97.196284
5/10/2020,1,8,33,Denton,33.219069,-97.196284
5/11/2020,1,5.9,25,Denton,33.219069,-97.196284
5/12/2020,1,6.3,26,Denton,33.219069,-97.196284
5/13/2020,1,6.4,27,Denton,33.219069,-97.196284
